SensorTimestamp,Longitude,Latitude,Air Temperature (Degrees C),Barometric Pressure (inches),Wind Direction (Degrees Magnetic),Wind Direction (Degrees True),Wind Speed (Knot),Wind Speed (Meters/Sec),Barometric Pressure (Millibars)
11/08/2015 14:54:33,-9.26132202148438,53.227481842041,11.7,30.1974,247.8,243.0,9.9,5.1,1022.6
11/08/2015 14:54:42,-9.26132202148438,53.227481842041,11.9,30.2003,247.8,243.0,11.1,5.7,1022.7
11/08/2015 14:56:59,-9.26132202148438,53.227481842041,11.9,30.2003,257.1,252.3,11.7,6.0,1022.7
13/08/2015 10:50:11,-9.26131534576416,53.227481842041,15.1,30.0911,173.7,168.9,6.5,3.3,1019
13/08/2015 12:02:42,-9.26131534576416,53.227481842041,11.4,30.0645,258.1,253.3,10.1,5.2,1018.1
13/08/2015 12:07:42,-9.26131534576416,53.227481842041,11.5,30.0645,256.4,251.6,11.8,6.1,1018.1
13/08/2015 12:12:42,-9.26131534576416,53.227481842041,11.5,30.0615,259.1,254.3,9.7,5.0,1018
13/08/2015 12:17:43,-9.26131534576416,53.227481842041,11.6,30.0615,243.4,238.6,10.7,5.5,1018
13/08/2015 12:27:34,-9.26131534576416,53.227481842041,11.5,30.0615,229.3,224.5,12.7,6.5,1018
13/08/2015 12:32:34,-9.26131534576416,53.227481842041,11.5,30.0586,238.2,233.4,11.8,6.1,1017.9
13/08/2015 12:37:34,-9.26131534576416,53.227481842041,11.7,30.0615,241.2,236.4,11.5,5.9,1018
13/08/2015 12:42:34,-9.26131534576416,53.227481842041,11.6,30.0645,240.2,235.4,16.4,8.4,1018.1
13/08/2015 12:47:35,-9.26131534576416,53.227481842041,11.6,30.0615,250.8,246.0,16.5,8.5,1018
13/08/2015 12:52:35,-9.26131534576416,53.227481842041,11.6,30.0645,236.1,231.3,13.3,6.8,1018.1
13/08/2015 12:57:35,-9.26131534576416,53.227481842041,11.6,30.0615,245.7,240.9,16.0,8.2,1018
13/08/2015 13:02:35,-9.26131534576416,53.227481842041,11.6,30.0615,223.2,218.4,14.0,7.2,1018
13/08/2015 13:07:35,-9.26131534576416,53.227481842041,11.7,30.0556,229.8,225.0,15.0,7.7,1017.8
13/08/2015 13:12:35,-9.26131534576416,53.227481842041,11.7,30.0556,225.3,220.5,15.3,7.9,1017.8
13/08/2015 13:17:35,-9.26131534576416,53.227481842041,11.5,30.0497,238.8,234.0,12.3,6.3,1017.6
13/08/2015 14:29:55,-9.2612943649292,53.2275047302246,11.7,30.0556,229.1,224.3,16.0,8.2,1017.8
13/08/2015 14:34:56,-9.2612943649292,53.2275047302246,11.6,30.0556,228.8,224.0,14.1,7.3,1017.8
13/08/2015 14:39:57,-9.2612943649292,53.2275047302246,11.9,30.0586,241.3,236.5,15.5,8.0,1017.9
13/08/2015 14:49:57,-9.2612943649292,53.2275047302246,11.8,30.0586,246.0,241.2,15.4,7.9,1017.9
13/08/2015 14:54:57,-9.2612943649292,53.2275047302246,11.8,30.0527,245.0,240.2,16.0,8.2,1017.7
13/08/2015 14:59:57,-9.2612943649292,53.2275047302246,11.7,30.0497,235.8,231.0,14.2,7.3,1017.6
13/08/2015 15:04:58,-9.2612943649292,53.2275047302246,11.7,30.0468,233.7,228.9,13.4,6.9,1017.5
13/08/2015 15:09:59,-9.2612943649292,53.2275047302246,11.8,30.0497,230.7,225.9,13.1,6.7,1017.6
13/08/2015 15:14:59,-9.2612943649292,53.2275047302246,11.7,30.0438,239.6,234.8,14.9,7.7,1017.4
13/08/2015 15:19:59,-9.26136875152588,53.2274742126465,11.6,30.0438,232.0,227.2,13.9,7.2,1017.4
13/08/2015 15:24:59,-9.26134586334229,53.227481842041,11.7,30.0379,234.3,229.5,13.0,6.7,1017.2
13/08/2015 15:29:59,-9.2613353729248,53.227481842041,11.7,30.0320,232.3,227.5,16.4,8.4,1017
13/08/2015 15:34:59,-9.26132488250732,53.2274894714355,11.8,30.0320,240.8,236.0,12.9,6.6,1017
13/08/2015 15:39:59,-9.2613353729248,53.2274894714355,11.7,30.0290,244.0,239.2,14.7,7.6,1016.9
13/08/2015 15:44:59,-9.26133346557617,53.2274894714355,11.8,30.0261,247.7,242.9,13.4,6.9,1016.8
13/08/2015 15:49:59,-9.26133155822754,53.227481842041,11.8,30.0202,241.1,236.3,12.1,6.2,1016.6
13/08/2015 15:54:59,-9.26132678985596,53.2274894714355,11.8,30.0143,241.5,236.7,15.7,8.1,1016.4
13/08/2015 15:59:59,-9.26132488250732,53.2274971008301,11.7,30.0143,231.0,226.2,14.2,7.3,1016.4
13/08/2015 16:04:59,-9.26132488250732,53.2274971008301,11.7,30.0113,240.3,235.5,13.0,6.7,1016.3
13/08/2015 16:10:00,-9.26132488250732,53.2274971008301,11.8,30.0143,246.2,241.4,13.6,7.0,1016.4
13/08/2015 16:15:00,-9.26131725311279,53.2275047302246,11.9,30.0113,232.6,227.8,13.5,6.9,1016.3
13/08/2015 16:20:01,-9.26130962371826,53.2275047302246,11.9,30.0113,241.4,236.6,13.6,7.0,1016.3
13/08/2015 16:25:02,-9.26131248474121,53.2274971008301,11.8,30.0054,247.6,242.8,14.3,7.4,1016.1
13/08/2015 16:30:02,-9.26131248474121,53.2274971008301,12.0,30.0054,254.0,249.2,12.9,6.6,1016.1
13/08/2015 16:35:02,-9.26131248474121,53.2274971008301,11.9,30.0054,237.3,232.5,12.5,6.4,1016.1
13/08/2015 16:40:03,-9.2613410949707,53.2275047302246,12.0,29.9936,239.5,234.7,11.6,6.0,1015.7
13/08/2015 16:45:03,-9.2613410949707,53.2275047302246,11.9,29.9936,251.1,246.3,12.9,6.6,1015.7
13/08/2015 16:50:04,-9.2613410949707,53.2275047302246,12.1,29.9907,245.3,240.5,12.7,6.5,1015.6
13/08/2015 16:55:05,-9.2613410949707,53.2275047302246,12.1,29.9877,234.0,229.2,12.1,6.2,1015.5
13/08/2015 17:12:51,-9.2613410949707,53.2275161743164,12.0,30.0084,238.7,233.9,14.0,7.2,1016.2
13/08/2015 17:17:51,-9.2613410949707,53.2275161743164,11.9,30.0025,249.3,244.5,15.5,8.0,1016
13/08/2015 17:22:52,-9.26132678985596,53.2275047302246,12.0,29.9966,246.8,242.0,14.1,7.3,1015.8
13/08/2015 17:27:52,-9.26132678985596,53.2275047302246,11.9,29.9966,247.3,242.5,14.2,7.3,1015.8
13/08/2015 17:32:52,-9.26132678985596,53.2275047302246,11.9,29.9966,247.7,242.9,14.8,7.6,1015.8
13/08/2015 17:37:52,-9.26132678985596,53.2274894714355,11.7,29.9907,244.6,239.8,15.0,7.7,1015.6
13/08/2015 17:42:52,-9.26133632659912,53.227481842041,11.7,29.9877,239.9,235.1,11.5,5.9,1015.5
13/08/2015 17:47:53,-9.26133632659912,53.227481842041,11.9,29.9877,252.0,247.2,12.8,6.6,1015.5
