ind,maxtp,mintp,gmin,rain,cbl,wdsp,hm,ddhm,hg,sun,soil,pe,evap,smd_wd,smd_md,smd_pd
0,19.2,14.4,13.6,0.2,1013.8,12,20,90,27,1.6, ,1.6,2.3, , , 
0,20.7,14.8,13.4,0,1018.2,7.3,12,100,16,9.3, ,2.5,3.5, , , 
0,23.3,11.8,9.6,0,1021.2,4.2,8,100,12,11.4, ,2.9,3.9, , , 
0,21.6,9.4,6.7,0,1024.2,6.2,13,310,18,5.3, ,2,2.7, , , 
0,21.3,12.2,11.3,0,1024.9,4.9,9,100,13,3.6, ,1.8,2.4, , , 
0,20.5,12.8,10.3,0,1025.2,6,11,180,15,3.3, ,1.9,2.5, , , 
0,19.4,8.2,8.9,0,1023.2,6.9,10,100,13,10.4, ,2.3,3.3, , , 
0,19.9,5.7,3.3,0.1,1019.8,5.1,9,100,13,5.2, ,2.4,3.1, , , 
0,19.2,11,10.1,4.2,1013.5,13.8,24,150,32,1, ,1.5,2.2, , , 
0,21.2,15.1,14.3,4.5,1007.9,12.7,23,150,33,5.6, ,2,2.9, , , 
0,21.3,14.1,13.4,0.4,1014,12.9,24,200,34,1.7, ,1.4,2.1, , , 
0,19.1,12.9,13.3,3.7,1010.3,17.2,36,240,49,2.2, ,1.4,2.2, , , 
0,15.8,11.4,10,7.8,1005.1,14.8,24,250,37,2.8, ,1.5,2.3, , , 
0,17.7,11.7,10.6,0.6,1004.8,12.3,20,270,29,4.2, ,1.9,2.7, , , 
0,17.3,12.3,11.3,11.1,1005.4,12.5,19,240,27,0, ,1,1.5, , , 
0,19.8,16.7,12.7,4.7,1003.7,14.5,21,220,27,0.1, ,1.2,1.8, , , 
0,19.3,13.6,12.3,0.5,1005.3,5.8,17,190,24,1.5, ,1.3,1.8, , , 
0,20.7,12.9,11.7,0.9,1002.2,6,16,280,19,6.1, ,1.8,2.4, , , 
0,15.2,10.8,10.3,4.1,1005,8.9,14,270,24,0, ,0.9,1.3, , , 
0,15.2,9.4,6.7,1.5,1009.5,13.7,28,240,41,4.4, ,1.5,2.3, , , 
0,17.1,9.3,8,5.4,1003.5,19.1,45,250,56,3.1, ,1.7,2.5, , , 
0,14.6,8.9,7.1,7.7,1005.2,17.6,32,190,54,5.5, ,2,3, , , 
0,15.8,9.4,7.7,4,1015.3,19.4,30,300,44,8.2, ,2,3.2, , , 
0,16.6,8.9,6.1,0,1023.8,11.1,21,300,27,7.6, ,1.9,2.7, , , 
0,15.7,5.4,0.9,0,1028.7,4.2,12,310,17,0.5, ,0.8,1.1, , , 
0,17.2,12.8,12.4,0.1,1028.6,9.7,18,130,27,1.3, ,1.1,1.5, , , 
0,17.6,13.4,10.4,0.1,1026.6,14.1,21,280,28,1.5, ,1,1.6, , , 
0,17.4,11.4,12.8,0.2,1025.8,10.2,17,290,25,0.4, ,1,1.4, , , 
0,15.7,12.5,9.1,0,1029.9,3.6,8,260,12,1.7, ,1.1,1.4, , , 
0,15.6,13.4,12.8,0,1032.9,6.8,10,180,14,0, ,1.1,1.4, , , 
0,18,10,12.4,0,1035.2,10.1,16,170,21,5.8, ,1.4,2, , , 
0,18.4,8.9,7.6,0,1036.2,9.2,15,150,20,9.5, ,1.3,2, , , 
0,18.7,9.6,8.4,0,1035.6,6.9,12,120,15,3.1, ,2.2,2.6, , , 
0,15.9,8.8,6.6,5.5,1028.2,8.1,14,170,20,0.4, ,0.9,1.2, , , 
0,18.3,6.5,10,2.4,1028.7,7.2,15,100,21,6.1, ,2.1,2.6, , , 
0,13,7.2,4.6,0.2,1034.8,2.7,8,250,10,0, ,1.1,1.4, , , 
0,16.6,10.2,10.3,0,1031.1,6,11,260,19,4.7, ,1.2,1.6, , , 
0,17.6,10.9,9.4,0,1024.9,6.4,12,180,16,3.3, ,1.2,1.6, , , 
0,16,9.4,7.2,1,1010.8,11.9,19,170,27,0.2, ,2.4,2.8, , , 
0,16.6,6.8,12.2,8.3,1006.7,9.6,18,160,25,8.1, ,0.7,1.3, , , 
0,16.3,8.1,4.2,1.3,1020,6.4,10,160,13,0.4, ,1.6,2, , , 
0,18.8,11.8,10.1,0,1027.6,5.2,10,120,13,0.6, ,0.8,1, , , 
0,15.6,13.2,13.6,0.2,1030.4,7.6,11,110,14,0, ,0.7,0.9, , , 
0,14.3,8.1,10.7,0,1029.5,8.4,12,100,16,2.8, ,0.7,1, , , 
0,16.7,4.3,1.6,0,1027.6,6.4,11,120,15,6, ,0.9,1.3, , , 
0,16.2,5.5,2.6,0,1024.3,11.6,18,110,23,7.2, ,1.1,1.5, , , 
0,18.8,11.6,9.4,0,1020,14.7,20,120,27,8.8, ,1.6,2.2, , , 
0,15.1,10.4,10.4,0,1016.9,15,21,110,27,1.4, ,1.1,1.5, , , 
0,16.9,10.2,8.5,0,1011.2,16.8,25,140,35,2, ,1.1,1.6, , , 
0,18.4,11.9,13.4,0.9,1005.5,11.2,21,150,30,1.9, ,0.8,1.1, , , 
0,16.4,6.1,2.3,0,1003.8,7.9,13,170,16,5.6, ,0.8,1.1, , , 
0,15.3,8.6,7.1,2.1,998.5,10.6,20,190,30,6, ,0.9,1.3, , , 
0,14.1,10.2,9.1,20.1,991.3,16.2,33,260,50,2.7, ,1.1,1.5, , , 
0,13.2,9.8,9.4,15.8,985.6,20.4,31,270,52,5, ,1.1,1.6, , , 
0,12.9,8.9,9.2,11.6,984.2,23.2,35,270,54,3.2, ,0.9,1.4, , , 
0,12.7,9.7,7.8,12.4,989.2,20.8,34,280,51,0.2, ,1.1,1.6, , , 
0,13.2,6.3,5.2,1.8,989.7,12.3,28,120,37,0.7, ,0.4,0.7, , , 
0,13.9,7.8,8.2,1.8,984.7,13,23,120,30,2.8, ,0.8,1.1, , , 
0,14.9,5.4,4.9,0,999.1,6,10,340,14,5.9, ,0.6,0.9, , , 
0,15,8.6,3.7,0.3,1007.8,7,18,160,25,0.2, ,0.6,0.7, , , 
0,15.2,10.4,9.9,8.6,1008.4,10.3,21,160,33,0.1, ,0.6,0.8, , , 
0,15.5,10,9.8,6.5,1011.3,8,15,130,21,5.5, ,0.7,0.9, , , 
0,13.4,5.4,8.9,5.8,1012.6,6.4,11,100,14,1.8, ,0.4,0.6, , , 
0,11.4,3.7,1.1,0,1013.6,3.8,7,40,9,0, ,0.9,1.1, , , 
0,14.2,5.1,1.8,0.6,1011.8,7.8,13,100,17,4.4, ,0.5,0.7, , , 
0,15.4,7.3,3.3,0.1,1018.2,8.3,13,100,17,5.4, ,0.6,0.8, , , 
0,13.5,8.1,3.4,0,1026.9,4.6,9,110,12,0, ,0.4,0.6, , , 
0,13.3,5,1.9,0,1028.2,5.6,12,260,15,0, ,0.3,0.5, , , 
0,14,10.2,10.6,0,1024.1,8.8,14,280,21,0, ,0.4,0.6, , , 
